,SP500
1997-12-18,955.30
1997-12-19,946.78
1997-12-22,953.70
1997-12-23,939.13
1997-12-24,932.70
1997-12-26,936.46
1997-12-29,953.35
1997-12-30,970.84
1997-12-31,970.43
1998-01-02,975.04
1998-01-05,977.07
1998-01-06,966.58
1998-01-07,964.00
1998-01-08,956.05
1998-01-09,927.69
1998-01-12,939.21
1998-01-13,952.12
1998-01-14,957.94
1998-01-15,950.73
1998-01-16,961.51
1998-01-20,978.60
1998-01-21,970.81
1998-01-22,963.04
1998-01-23,957.59
1998-01-26,956.95
1998-01-27,969.02
1998-01-28,977.46
1998-01-29,985.49
1998-01-30,980.28
1998-02-02,1001.27
1998-02-03,1006.00
1998-02-04,1006.90
1998-02-05,1003.54
1998-02-06,1012.46
1998-02-09,1010.74
1998-02-10,1019.01
1998-02-11,1020.01
1998-02-12,1024.14
1998-02-13,1020.09
1998-02-17,1022.76
1998-02-18,1032.08
1998-02-19,1028.28
1998-02-20,1034.21
1998-02-23,1038.14
1998-02-24,1030.56
1998-02-25,1042.90
1998-02-26,1048.67
1998-02-27,1049.34
1998-03-02,1047.70
1998-03-03,1052.02
1998-03-04,1047.33
1998-03-05,1035.05
1998-03-06,1055.69
1998-03-09,1052.31
1998-03-10,1064.25
1998-03-11,1068.47
1998-03-12,1069.92
1998-03-13,1068.61
1998-03-16,1079.27
1998-03-17,1080.45
1998-03-18,1085.52
1998-03-19,1089.74
1998-03-20,1099.16
1998-03-23,1095.55
1998-03-24,1105.65
1998-03-25,1101.93
1998-03-26,1100.80
1998-03-27,1095.44
1998-03-30,1093.55
1998-03-31,1101.75
1998-04-01,1108.15
1998-04-02,1120.01
1998-04-03,1122.70
1998-04-06,1121.38
1998-04-07,1109.54
1998-04-08,1101.65
1998-04-09,1110.67
1998-04-13,1109.69
1998-04-14,1115.75
1998-04-15,1119.32
1998-04-16,1108.17
1998-04-17,1122.72
1998-04-20,1123.65
1998-04-21,1126.67
1998-04-22,1130.54
1998-04-23,1119.58
1998-04-24,1107.90
1998-04-27,1086.54
1998-04-28,1085.11
1998-04-29,1094.63
1998-04-30,1111.75
1998-05-01,1121.00
1998-05-04,1122.07
1998-05-05,1115.50
1998-05-06,1104.92
1998-05-07,1095.14
1998-05-08,1108.14
1998-05-11,1106.64
1998-05-12,1115.79
1998-05-13,1118.86
1998-05-14,1117.37
1998-05-15,1108.73
1998-05-18,1105.82
1998-05-19,1109.52
1998-05-20,1119.06
1998-05-21,1114.64
1998-05-22,1110.47
1998-05-26,1094.02
1998-05-27,1092.23
1998-05-28,1097.60
1998-05-29,1090.82
1998-06-01,1090.98
1998-06-02,1093.22
1998-06-03,1082.73
1998-06-04,1094.83
1998-06-05,1113.86
1998-06-08,1115.72
1998-06-09,1118.41
1998-06-10,1112.28
1998-06-11,1094.58
1998-06-12,1098.84
1998-06-15,1077.01
1998-06-16,1087.59
1998-06-17,1107.11
1998-06-18,1106.37
1998-06-19,1100.65
1998-06-22,1103.21
1998-06-23,1119.49
1998-06-24,1132.88
1998-06-25,1129.28
1998-06-26,1133.20
1998-06-29,1138.49
1998-06-30,1133.84
1998-07-01,1148.56
1998-07-02,1146.42
1998-07-06,1157.33
1998-07-07,1154.66
1998-07-08,1166.38
1998-07-09,1158.56
1998-07-10,1164.33
1998-07-13,1165.19
1998-07-14,1177.58
1998-07-15,1174.81
1998-07-16,1183.99
1998-07-17,1186.75
1998-07-20,1184.10
1998-07-21,1165.07
1998-07-22,1164.08
1998-07-23,1139.75
1998-07-24,1140.80
1998-07-27,1147.27
1998-07-28,1130.24
1998-07-29,1125.21
1998-07-30,1142.95
1998-07-31,1120.67
1998-08-03,1112.44
1998-08-04,1072.12
1998-08-05,1081.43
1998-08-06,1089.63
1998-08-07,1089.45
1998-08-10,1083.14
1998-08-11,1068.98
1998-08-12,1084.22
1998-08-13,1074.91
1998-08-14,1062.75
1998-08-17,1083.67
1998-08-18,1101.20
1998-08-19,1098.06
1998-08-20,1091.60
1998-08-21,1081.24
1998-08-24,1088.14
1998-08-25,1092.85
1998-08-26,1084.19
1998-08-27,1042.59
1998-08-28,1027.14
1998-08-31,957.28
1998-09-01,994.26
1998-09-02,990.47
1998-09-03,982.26
1998-09-04,973.89
1998-09-08,1023.46
1998-09-09,1006.20
1998-09-10,980.19
1998-09-11,1009.06
1998-09-14,1029.72
1998-09-15,1037.68
1998-09-16,1045.48
1998-09-17,1018.87
1998-09-18,1020.09
1998-09-21,1023.89
1998-09-22,1029.63
1998-09-23,1066.09
1998-09-24,1042.72
1998-09-25,1044.75
1998-09-28,1048.69
1998-09-29,1049.02
1998-09-30,1017.01
1998-10-01,986.39
1998-10-02,1002.60
1998-10-05,988.56
1998-10-06,984.59
1998-10-07,970.68
1998-10-08,959.44
1998-10-09,984.39
1998-10-12,997.71
1998-10-13,994.80
1998-10-14,1005.53
1998-10-15,1047.49
1998-10-16,1056.42
1998-10-19,1062.39
1998-10-20,1063.93
1998-10-21,1069.92
1998-10-22,1078.48
1998-10-23,1070.67
1998-10-26,1072.32
1998-10-27,1065.34
1998-10-28,1068.09
1998-10-29,1085.93
1998-10-30,1098.67
1998-11-02,1111.60
1998-11-03,1110.84
1998-11-04,1118.67
1998-11-05,1133.85
1998-11-06,1141.01
1998-11-09,1130.20
1998-11-10,1128.26
1998-11-11,1120.97
1998-11-12,1117.69
1998-11-13,1125.72
1998-11-16,1135.87
1998-11-17,1139.32
1998-11-18,1144.48
1998-11-19,1152.61
1998-11-20,1163.55
1998-11-23,1188.21
1998-11-24,1182.99
1998-11-25,1186.87
1998-11-27,1192.33
1998-11-30,1163.63
1998-12-01,1175.28
1998-12-02,1171.25
1998-12-03,1150.14
1998-12-04,1176.74
1998-12-07,1187.70
1998-12-08,1181.38
1998-12-09,1183.49
1998-12-10,1165.02
1998-12-11,1166.46
1998-12-14,1141.20
1998-12-15,1162.83
1998-12-16,1161.94
1998-12-17,1179.98
1998-12-18,1188.03
1998-12-21,1202.84
1998-12-22,1203.57
1998-12-23,1228.54
1998-12-24,1226.27
1998-12-28,1225.49
1998-12-29,1241.81
1998-12-30,1231.93
1998-12-31,1229.23
1999-01-04,1228.10
1999-01-05,1244.78
1999-01-06,1272.34
1999-01-07,1269.73
1999-01-08,1275.09
1999-01-11,1263.88
1999-01-12,1239.51
1999-01-13,1234.40
1999-01-14,1212.19
1999-01-15,1243.26
1999-01-19,1252.00
1999-01-20,1256.62
1999-01-21,1235.16
1999-01-22,1225.19
1999-01-25,1233.98
1999-01-26,1252.31
1999-01-27,1243.17
1999-01-28,1265.37
1999-01-29,1279.64
1999-02-01,1273.00
1999-02-02,1261.99
1999-02-03,1272.07
1999-02-04,1248.49
1999-02-05,1239.40
1999-02-08,1243.77
1999-02-09,1216.14
1999-02-10,1223.55
1999-02-11,1254.04
1999-02-12,1230.13
1999-02-16,1241.87
1999-02-17,1224.03
1999-02-18,1237.28
1999-02-19,1239.22
1999-02-22,1272.14
1999-02-23,1271.18
1999-02-24,1253.41
1999-02-25,1245.02
1999-02-26,1238.33
1999-03-01,1236.16
1999-03-02,1225.50
1999-03-03,1227.70
1999-03-04,1246.64
1999-03-05,1275.47
1999-03-08,1282.73
1999-03-09,1279.84
1999-03-10,1286.84
1999-03-11,1297.68
1999-03-12,1294.59
1999-03-15,1307.26
1999-03-16,1306.38
1999-03-17,1297.82
1999-03-18,1316.55
1999-03-19,1299.29
1999-03-22,1297.01
1999-03-23,1262.14
1999-03-24,1268.59
1999-03-25,1289.99
1999-03-26,1282.80
1999-03-29,1310.17
1999-03-30,1300.75
1999-03-31,1286.37
1999-04-01,1293.72
1999-04-05,1321.12
1999-04-06,1317.89
1999-04-07,1326.89
1999-04-08,1343.98
1999-04-09,1348.35
1999-04-12,1358.64
1999-04-13,1349.82
1999-04-14,1328.44
1999-04-15,1322.86
1999-04-16,1319.00
1999-04-19,1289.48
1999-04-20,1306.17
1999-04-21,1336.12
1999-04-22,1358.82
1999-04-23,1356.85
1999-04-26,1360.04
1999-04-27,1362.80
1999-04-28,1350.91
1999-04-29,1342.83
1999-04-30,1335.18
1999-05-03,1354.63
1999-05-04,1332.00
1999-05-05,1347.31
1999-05-06,1332.05
1999-05-07,1345.00
1999-05-10,1340.30
1999-05-11,1355.61
1999-05-12,1364.00
1999-05-13,1367.56
1999-05-14,1337.80
1999-05-17,1339.49
1999-05-18,1333.32
1999-05-19,1344.23
1999-05-20,1338.83
1999-05-21,1330.29
1999-05-24,1306.65
1999-05-25,1284.40
1999-05-26,1304.76
1999-05-27,1281.41
1999-05-28,1301.84
1999-06-01,1294.26
1999-06-02,1294.81
1999-06-03,1299.54
1999-06-04,1327.75
1999-06-07,1334.52
1999-06-08,1317.33
1999-06-09,1318.64
1999-06-10,1302.82
1999-06-11,1293.64
1999-06-14,1294.00
1999-06-15,1301.16
1999-06-16,1330.41
1999-06-17,1339.90
1999-06-18,1342.84
1999-06-21,1349.00
1999-06-22,1335.88
1999-06-23,1333.06
1999-06-24,1315.78
1999-06-25,1315.31
1999-06-28,1331.35
1999-06-29,1351.45
1999-06-30,1372.71
1999-07-01,1380.96
1999-07-02,1391.22
1999-07-06,1388.12
